"_id","title","author","description","price_amount","price_currency","rating_value","rating_count","publication_year","isbn","pages_cnt","publisher","book_cover","source_url"
"ObjectId(""6944ebf9765021cd3de2d75c"")","Долларовый эквивалент: повесть","Николай Леонов","Непредсказуема работа опера. Лев Гуров идет по следу. Причем в самом прямом смысле этого слова: полковник преследует уходящего лесом бандита. А все начиналось с перестрелки на борту прогулочного катера ""Викинг"", принадлежащего банкиру Бардину. В итоге катер затонул, а дочь банкира, веселившуюся в компании друзей на ""Викинге"", похитили. Соответственно, был назначен и долларовый эквивалент за легкомысленную девицу. Банкир решил вызволить дочь своими силами, но лишь схлопотал пулю и сильно осложнил оперативную ситуацию. Бандиты, как говорится, бросились врассыпную. И теперь полковник Крячко работает в ""каменных джунглях"", а Гуров бежит по ночному лесу, гадая, из-за какого дерева хлестнет автома",0,"RUB",,,"2010","978-5-699-41202-0","320","Эксмо","https://content.img-gorod.ru/pim/products/images/50/7d/0199e8b9-98ed-799e-84e3-500d34c2507d.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/dollarovyy-ekvivalent-povest-2236398"
"ObjectId(""6944ebf9765021cd3de2d75d"")","Бронетранспортеры ""Ганомаг"" и ""Бюссинг-Наг""","Михаил Барятинский","Новая книга ведущего историка бронетехники! Всё о создании и боевом применении непревзойденных полугусеничных бронетранспортеров, обеспечивших Вермахту превосходство на поле боя и ставших оружием побед Гитлера. 
.
.
.",0,"RUB",,,"2010","978-5-699-41201-3","96","Эксмо","https://content.img-gorod.ru/pim/products/images/f5/3d/018ed6d0-2216-7ba8-84e3-66090ea5f53d.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/bronetransportery-ganomag-i-byussing-nag-2236402"
"ObjectId(""6944ebf9765021cd3de2d75e"")","Бизнес-леди и чудовище : роман","Анна Ольховская","Бизнес-леди Лана Красич — молода, состоятельна и безумно красива. Чего не скажешь о ее подруге Ирине Иванцовой: не вышла бедняжка ни лицом, ни фигурой. С помощью дорогой косметики Ирина решила было проблемы с внешним видом. Муж, любивший ее и гадким утенком, стал сдувать с нее пылинки. Полный восторг! И вдруг... Верная жена пропала, бросив детей, а супругу сообщила в письме, что полюбила другого. Деловая хватка не подвела Лану и здесь. Она провела экспресс-расследование и выяснила: причина исчезновения Иришки — опасные осложнения с кожей. А причастен к производству таинственной косметики давний враг семьи Красичей — беспринципный мерзавец Скипин, имеющий самые серьезные виды на красотку Лану",0,"RUB",,,"2010","978-5-699-37441-0","320","Эксмо","https://content.img-gorod.ru/pim/products/images/ee/6c/0199ed16-863e-7677-a5c6-c4bc3263ee6c.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/biznes-ledi-i-chudovishche-roman-2236394"
"ObjectId(""6944ebfa765021cd3de2d75f"")","Мифы глобального потепления. Реальная угроза, или Афера века?","Рудольф Баландин","Новая полемическая книга от автора бестселлеров «Магия мозга, черная и белая» и «От Николы Теслы до Большого взрыва»! Анализ одного из главных научных мифов XXI века. Разоблачение грандиозной аферы вокруг так называемого «глобального потепления».
.Представляет ли оно реальную угрозу для человечества? Грядет ли климатическая катастрофа? Возможен ли новый всемирный потоп? Или все это лишь миф, придуманный лжеучеными для выкачивания денег? Если метеорологи не в состоянии точно предсказать погоду хотя бы на месяц вперед — чего стоят прогнозы на целые десятилетия? Ведь само понятие «климат» (от греческого «наклон») подразумевает астрономический фактор — наклон земной поверхности к потоку солнечны",0,"RUB",,,"2010","978-5-699-41256-3","288","Эксмо","https://content.img-gorod.ru/pim/products/images/60/e3/0199e87e-a864-78be-8e0d-41c4e63160e3.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/mify-globalnogo-potepleniya-realnaya-ugroza-ili-afera-veka-2236392"
"ObjectId(""6944ebfa765021cd3de2d760"")","Цветы для Элджернона","Дэниел Киз","Когда-то это считалось фантастикой. ",0,"RUB",,"495","2023","978-5-699-41332-4","320","Эксмо","https://content.img-gorod.ru/pim/products/images/ac/9f/0199e87d-802f-74b8-ad06-de845277ac9f.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/cvety-dlya-eldzhernona-2236396"
"ObjectId(""6944ebfa765021cd3de2d761"")","Энциклопедия первоклассника","Элина Голубева","Эта книга станет верным спутником каждого первоклассника. В ней легко можно найти информацию об окружающем нас многообразном мире. Здесь есть рассказы о планетах и интересные факты из жизни животных, истории обычных вещей и важных открытий. Это почти настоящая — взрослая — энциклопедия. Но сделана она специально для тех, кто только начинает долгое и трудное путешествие в страну знаний. Сделать это путешествие интересным, увлекательным и нескучным — очень важная задача! В этом вам поможет ""Энциклопедия первоклассника""!",0,"RUB","3.0","13","2021","978-5-699-88776-7","120","Эксмо","https://content.img-gorod.ru/pim/products/images/b0/08/01939986-8cb7-7f42-934a-9d56d696b008.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/enciklopediya-pervoklassnika-2236390"
"ObjectId(""6944ebfa765021cd3de2d762"")","Королевская ночь","Жюльетта Бенцони","В недобрый час находит красавица Катрин своего мужа - ослепленный ревностью, Арно де Монсальви готов проклясть не только ее, но и саму жизнь. И все же отчаяние не лишает Катрин мужества. Едва не погибнув от рук разбойников, она возвращается в Монсальви иузнает, что Арно тяжело болен. Лишь самоотверженность Катрин возвращает мужа к жизни. Но это уже другой Арно: мудрый, все понимающий, он словно заново родился - для новой жизни и любви рядом со своей обожаемой Катрин. 
.
.",0,"RUB",,,"2010","978-5-699-41953-1","416","Эксмо","https://content.img-gorod.ru/pim/products/images/37/31/0199ed16-8da0-7d83-96d4-18d5a1833731.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/korolevskaya-noch-2236391"
"ObjectId(""6944ebfa765021cd3de2d763"")","Полюблю и отравлю: роман","Дарья Калинина","У соседей Киры и Леси сплошные неприятности: то старший сын в аварию попадет, то младшая дочь отравится, то пожар вспыхнет. Да и сама семейка Кулебякиных какая-то странная. Нет, на первый взгляд милейшие люди! А копнешь поглубже… И деньги у них явно водятся, причем не маленькие, а живут бедно. Вот Кира и Леся и решили по-соседски помочь разобраться, в чем причина проблем. А едва начали вникать, пожалели: беды Кулебякиных не только не закончились, но стали еще более ужасными!..",0,"RUB",,,"2010","978-5-699-41437-6","352","Эксмо","https://content.img-gorod.ru/pim/products/images/29/93/0199ed16-7fe3-7eed-a629-156e1e942993.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/polyublyu-i-otravlyu-roman-2236387"
"ObjectId(""6944ebfa765021cd3de2d764"")","Черная Кость. Книга вторая : Тропа колдунов","Руслан Мельников","Борьба сильнейших чародеев за Черную Кость продолжается.
.В жестоких битвах за чужую власть и чужое бессмертие гибнут разноязыкие армии. Латиняне под предводительством императорского мага и гречанки-ворожеи штурмуют крепость ищерского князя-волхва. Татарские тумены, ведомые великим ханом и ханским шаманом, бьются с латинянами. Германские рыцари сражаются с японскими самураями. Ассасины схлестнулись с ниндзя. Старец Горы невиданным колдовством защищает низаритскую твердыню. Ждут своего часа китайские «лесные демоны».
.Уже ясно, кто владеет четырьмя Костьми. И где искать пятую. Но есть еще одна. Последняя. Шестая.
.
.
.
.
.",0,"RUB",,,"2010","978-5-699-41299-0","336","Эксмо","https://content.img-gorod.ru/pim/products/images/30/6f/0199e87e-46d6-7d06-b681-09b53407306f.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/chernaya-kost-kniga-vtoraya-tropa-koldunov-2236384"
"ObjectId(""6944ebfb765021cd3de2d765"")","Православная мама : Пособие для семьи с наставлениями священника и советами детского врача","Владимир Зоберн","Эта книга поможет родителям вырастить здоровых детей и воспитать их в духе православия. В ней затрагиваются все этапы этого процесса: начиная с создания семьи и заканчивая периодом взросления ребенка.",0,"RUB",,,"2010","978-5-17-065813-8","480","АСТ","https://content.img-gorod.ru/pim/products/images/8e/60/0199e8fa-ee60-70cf-88ba-6f60a9218e60.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/pravoslavnaya-mama-posobie-dlya-semi-s-nastavleniyami-svyashchennika-i-sovetami-detskogo-vracha-2236369"
